Date,Album,Artist,Year,Genre,Rating,Origin,Recorded At
1/3/2018,Hope,Manchester Orchestra,2014,Rock / Indie Rock / Acoustic Rock,0.4,"Atlanta, Georgia, USA",
1/4/2018,David Bowie (aka Space Oddity),David Bowie,1969,Rock / Folk Rock / Psychedelic Rock / Progressive Rock,1,"London, UK","London, UK"
1/5/2018,A Black Mile To The Surface,Manchester Orchestra,2017,Rock / Indie Rock / Indie Folk / Art Rock,1,"Atlanta, Georgia, USA","Atlanta, Georgia, USA"
1/6/2018,In Spades,The Afghan Whigs,2017,Rock / Alternative Rock,0.4,"Ohio, USA","New Orleans, Louisiana, USA"
1/7/2018,Reflections Of A Floating World,Elder,2017,Metal / Stoner Metal / Progressive Rock,0.8,"Massachusetts, USA",
1/8/2018,DAMN,Kendrick Lamar,2017,Hip Hop / Conscious Rap,1,"Compton, California, USA",
1/9/2018,Nocturnal,Amaral,2015,Rock / Pop Rock / Folk Rock / Spanish Rock,0.6,"Zaragoza, Spain",
1/10/2018,If I Should Fall From Grace With God,The Pogues,1988,Punk / Celtic Punk / Folk Punk / Celtic Rock,0.8,"London, UK",
1/11/2018,The Rise and Fall of Ziggy Stardust and The Spiders From Mars,David Bowie,1972,Rock / Glam Rock / Proto-Punk,1,"London, UK",
1/12/2018,Yeezus,Kanye West,2013,Hip Hop / Experimental / Alternative Rap,1,"Illinois, USA",
1/13/2018,Cope,Manchester Orchestra,2013,Rock / Indie Rock / Hard Rock / Art Rock,0.8,"Atlanta, Georgia, USA","Brooklyn, New York, USA"
1/14/2018,Blonde,Frank Ocean,2016,Hip Hop / Avant-Garde / Electronica / R&B,0.2,"Louisiana, USA",
1/15/2018,Beneath The Earth And The Sky,Lynched / Lankum,2017,Folk / Irish Folk,0.8,"Dublin, Ireland",
1/16/2018,Blues For The Red Sun,Kyuss,1992,Metal / Stoner Metal / Heavy Metal,0.6,"California, USA",
1/17/2018,Trick Of The Light,Wooden Arms,2017,Indie / Alternative / Classical / Trip Hop,1,"Norwich, UK",
1/18/2018,The River,Bruce Springsteen,1980,Rock / Heartland Rock / Rock and Roll,1,"New Jersey, USA",
1/19/2018,The Life of Pablo,Kanye West,2016,Hip Hop / Art Pop,0.9,"Illinois, USA","Los Angeles, California, USA / New York City, New York, USA / Nayarit, Mexico / Florence, Italy"
1/20/2018,808s & Heartbreak,Kanye West,2008,Pop / Electropop / R&B / Art Pop,0.7,"Illinois, USA","Los Angeles, California, USA / Honolulu, Hawaii, USA"
1/21/2018,Born To Run,Bruce Springsteen,1975,Rock / Rock and Roll,0.8,"New Jersey, USA",
1/22/2018,The Epic,Kamasi Washington,2015,Jazz / Spiritual Jazz / Jazz-Funk / Cosmic Jazz,1,"Los Angeles, California, USA","Los Angeles, California, USA"
1/23/2018,Project ELO,Tumi Mogorosi,2014,Jazz / Spiritual Jazz / Cosmic Jazz,0.8,"Johannesburg, South Africa",
1/24/2018,Visions Of A Life,Wolf Alice,2017,Rock / Alternative Rock / Indie Rock / Noise Rock,0.8,"London, UK",
1/25/2018,Pure Comedy,Father John Misty,2017,Indie / Indie Folk / Indie Rock / Orchestral Folk,0.7,"Maryland, USA","Los Angeles, California, USA"
1/26/2018,Simple Math,Manchester Orchestra,2011,Rock / Indie Rock / Post-Hardcore / Symphonic Rock,0.6,"Atlanta, Georgia, USA","Nashville, Tennessee, USA"
1/27/2018,Blue Camel,Rabih Abou-Khalil,1992,Jazz / Ethno Jazz / World Fusion,0.6,"Beirut, Lebanon",
1/28/2018,Serious About Men,The Rubberbandits,2011,Comedy / Rap,0.8,"Limerick, Ireland",
1/29/2018,No Shape,Perfume Genius,2017,Pop / Art Pop / Chamber Pop,0.6,"Seattle, Washington, USA",
